tag,task,seed,replan,phase,rho,recall,r_sel_cm,n
dino_push_l2,mw-push,41000,0,init,0.6877407740774076,0.6,0.0,100
dino_push_l2,mw-push,41000,0,final,-0.020906090609060905,0.0,0.0,100
dino_push_l2,mw-push,41000,1,init,0.2544134413441344,0.0,0.046956539154052734,100
dino_push_l2,mw-push,41000,1,final,-0.5403660366036603,0.0,0.0,100
dino_push_l2,mw-push,41000,2,init,-0.37104110411041097,0.0,0.0,100
dino_push_l2,mw-push,41000,2,final,-0.10474647464746473,0.0,0.0,100
dino_push_l2,mw-push,41000,3,init,0.10847884788478847,0.0,0.0,100
dino_push_l2,mw-push,41000,3,final,-0.5803540354035402,0.0,0.0,100
dino_push_l2,mw-push,41000,4,init,0.33306930693069303,0.2,0.0,100
dino_push_l2,mw-push,41000,4,final,0.07804380438043804,0.0,0.0,100
dino_push_l2,mw-push,41000,5,init,-0.009036903690369035,0.2,0.0,100
dino_push_l2,mw-push,41000,5,final,0.23227122712271225,0.0,0.0,100
dino_push_l2,mw-push,41000,6,init,0.03162316231623162,0.0,0.0,100
dino_push_l2,mw-push,41000,6,final,-0.04594059405940594,0.0,0.0,100
dino_push_l2,mw-push,41001,0,init,0.7753735373537353,0.4,0.0,100
dino_push_l2,mw-push,41001,0,final,0.21954995499549954,0.0,0.0,100
dino_push_l2,mw-push,41001,1,init,0.23435943594359435,0.1,0.00152587890625,100
dino_push_l2,mw-push,41001,1,final,-0.5387818781878188,0.0,0.0,100
dino_push_l2,mw-push,41001,2,init,-0.1311251125112511,0.0,0.0,100
dino_push_l2,mw-push,41001,2,final,-0.628226822682268,0.0,0.0,100
dino_push_l2,mw-push,41001,3,init,-0.24957695769576957,0.0,0.0,100
dino_push_l2,mw-push,41001,3,final,-0.1571197119711971,0.0,0.0,100
dino_push_l2,mw-push,41001,4,init,0.5373657365736573,0.1,0.0,100
dino_push_l2,mw-push,41001,4,final,-0.39139513951395133,0.0,0.0,100
dino_push_l2,mw-push,41001,5,init,0.5301170117011701,0.2,0.0,100
dino_push_l2,mw-push,41001,5,final,-0.3168076807680768,0.0,0.0,100
dino_push_l2,mw-push,41001,6,init,0.2642424242424242,0.2,0.0,100
dino_push_l2,mw-push,41001,6,final,0.10607860786078606,0.1,0.0,100
dino_push_l2,mw-push,41002,0,init,0.6837083708370836,0.2,0.0,100
dino_push_l2,mw-push,41002,0,final,0.12768076807680767,0.0,0.0,100
dino_push_l2,mw-push,41002,1,init,0.13028502850285026,0.0,0.0,100
dino_push_l2,mw-push,41002,1,final,0.10684668466846685,0.0,0.0,100
dino_push_l2,mw-push,41002,2,init,-0.2531293129312931,0.0,0.0,100
dino_push_l2,mw-push,41002,2,final,-0.6834683468346834,0.0,0.0,100
dino_push_l2,mw-push,41002,3,init,-0.43813981398139806,0.0,0.0,100
dino_push_l2,mw-push,41002,3,final,0.30532253225322525,0.1,0.0,100
dino_push_l2,mw-push,41002,4,init,0.38247824782478246,0.0,0.0,100
dino_push_l2,mw-push,41002,4,final,-0.24871287128712868,0.0,0.0,100
dino_push_l2,mw-push,41002,5,init,0.806012601260126,0.5,0.0,100
dino_push_l2,mw-push,41002,5,final,0.31339427961221045,0.1,0.0,100
dino_push_l2,mw-push,41002,6,init,0.6088928892889288,0.3,0.0,100
dino_push_l2,mw-push,41002,6,final,0.005388538853885388,0.0,0.0,100
dino_push_l2,mw-push,41003,0,init,0.8000600060006,0.1,0.0,100
dino_push_l2,mw-push,41003,0,final,-0.40919414699898243,0.0,0.0,100
dino_push_l2,mw-push,41003,1,init,0.03066306630663066,0.0,1.2303739786148098,100
dino_push_l2,mw-push,41003,1,final,-0.5068226822682268,0.0,0.0,100
dino_push_l2,mw-push,41003,2,init,-0.32523252325232527,0.0,0.0,100
dino_push_l2,mw-push,41003,2,final,-0.27548754875487547,0.0,0.0,100
dino_push_l2,mw-push,41003,3,init,0.8341434143414341,0.4,0.0,100
dino_push_l2,mw-push,41003,3,final,0.14717071707170717,0.0,0.0,100
dino_push_l2,mw-push,41003,4,init,0.7212241224122412,0.5,0.0,100
dino_push_l2,mw-push,41003,4,final,-0.11383138313831383,0.0,0.0,100
dino_push_l2,mw-push,41003,5,init,0.38127812781278125,0.1,0.0,100
dino_push_l2,mw-push,41003,5,final,0.09072907290729072,0.0,0.0,100
dino_push_l2,mw-push,41003,6,init,0.1607440744074407,0.2,0.0,100
dino_push_l2,mw-push,41003,6,final,0.0869126912691269,0.0,0.0,100
dino_push_l2,mw-push,41004,0,init,0.4427602760276027,0.1,0.0,100
dino_push_l2,mw-push,41004,0,final,0.1821182118211821,0.2,0.0,100
dino_push_l2,mw-push,41004,1,init,-0.07573957395739574,0.0,0.0,100
dino_push_l2,mw-push,41004,1,final,-0.22586258625862582,0.0,0.0,100
dino_push_l2,mw-push,41004,2,init,-0.29662166216621655,0.0,0.0,100
dino_push_l2,mw-push,41004,2,final,-0.0942094209420942,0.0,0.0,100
dino_push_l2,mw-push,41004,3,init,-0.07068706870687069,0.0,0.0,100
dino_push_l2,mw-push,41004,3,final,-0.3111440478383276,0.0,0.0,100
dino_push_l2,mw-push,41004,4,init,0.665070507050705,0.1,0.0,100
dino_push_l2,mw-push,41004,4,final,-0.11907590759075906,0.0,0.0,100
dino_push_l2,mw-push,41004,5,init,0.7940834083408341,0.5,0.0,100
dino_push_l2,mw-push,41004,5,final,-0.042256225622562246,0.0,0.0,100
dino_push_l2,mw-push,41004,6,init,-0.012985298529852984,0.0,0.0,100
dino_push_l2,mw-push,41004,6,final,-0.0251065106510651,0.0,0.0,100
dino_push_l2,mw-push,41005,0,init,0.8313591359135912,0.5,0.0,100
dino_push_l2,mw-push,41005,0,final,-0.2104170417041704,0.0,0.0,100
dino_push_l2,mw-push,41005,1,init,0.2581578157815781,0.2,0.0,100
dino_push_l2,mw-push,41005,1,final,-0.4478007800780078,0.1,0.0,100
dino_push_l2,mw-push,41005,2,init,-0.3061746174617462,0.0,0.0,100
dino_push_l2,mw-push,41005,2,final,-0.29326132613261324,0.1,0.0,100
dino_push_l2,mw-push,41005,3,init,0.44698469846984695,0.0,0.0,100
dino_push_l2,mw-push,41005,3,final,-0.020162016201620163,0.0,0.0,100
dino_push_l2,mw-push,41005,4,init,0.943054305430543,0.8,0.0,100
dino_push_l2,mw-push,41005,4,final,-0.073999399939994,0.0,0.0,100
dino_push_l2,mw-push,41005,5,init,0.8083528352835282,0.4,0.0,100
dino_push_l2,mw-push,41005,5,final,-0.3165316531653165,0.0,0.0,100
dino_push_l2,mw-push,41005,6,init,0.4036723672367237,0.0,0.0,100
dino_push_l2,mw-push,41005,6,final,-0.26657065706570654,0.0,0.0,100
dino_push_l2,mw-push,41006,0,init,0.908082808280828,0.9,0.0,100
dino_push_l2,mw-push,41006,0,final,0.6233903390339034,0.4,0.0025391578674316406,100
dino_push_l2,mw-push,41006,1,init,0.7827422742274226,0.6,0.12390613555907926,100
dino_push_l2,mw-push,41006,1,final,0.2705310531053105,0.2,2.823586761951438,100
dino_push_l2,mw-push,41006,2,init,-0.004608460846084608,0.2,1.4844253659248297,100
dino_push_l2,mw-push,41006,2,final,-0.4934893489348935,0.0,0.27224272489548007,100
dino_push_l2,mw-push,41006,3,init,-0.11504350435043503,0.0,0.0,100
dino_push_l2,mw-push,41006,3,final,0.06474647464746475,0.0,0.0,100
dino_push_l2,mw-push,41006,4,init,-0.0445004500450045,0.0,0.0,100
dino_push_l2,mw-push,41006,4,final,0.2083408340834083,0.0,0.0,100
dino_push_l2,mw-push,41006,5,init,0.02478247824782478,0.0,0.0,100
